ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Applications Received - Scheme wise,RPO Coimbatore,Normal,2557,12432,143869,29:09.8
Applications Received - Scheme wise,RPO Coimbatore,Tatkaal,43,184,2330,29:09.8
Applications Received - Gender wise,RPO Coimbatore,FEMALE,1021,4919,57990,29:09.8
Applications Received - Gender wise,RPO Coimbatore,MALE,1579,7693,88195,29:09.8
Applications with Aadhaar Number,RPO Coimbatore,Count of Applications,2600,12613,146187,29:09.8
Applications - Education Wise,RPO Coimbatore,10TH PASS AND ABOVE,686,3545,44204,29:09.8
Applications - Education Wise,RPO Coimbatore,GRADUATE AND ABOVE,1173,5292,61179,29:09.8
Applications - Age Wise Wise,RPO Coimbatore,Between_18_to_35,1328,6106,73594,29:09.8
Applications - Age Wise Wise,RPO Coimbatore,Between_36_to_60,683,3658,41701,29:09.8
Applications - Age Wise Wise,RPO Coimbatore,GreaterThan60,147,888,11262,29:09.8
Applications - Age Wise Wise,RPO Coimbatore,LessThan18,442,1961,19630,29:09.8
Application Fee Online Payment - Mode Wise,RPO Coimbatore,Challan,34800,123700,1713550,29:09.8
Application Fee Online Payment - Mode Wise,RPO Coimbatore,Credit/ Debit Card,2083950,9450950,104667050,29:09.8
Application Fee Online Payment - Mode Wise,RPO Coimbatore,Online,890000,4233200,54420950,29:09.8
Applications Received - Service Wise,RPO Coimbatore,FRESH,1662,8340,99594,29:09.8
Applications Received - Service Wise,RPO Coimbatore,PCC,76,387,3970,29:09.8
Applications Received - Service Wise,RPO Coimbatore,REISSUE,861,3882,42548,29:09.8
Applications Granted - PV Mode wise,RPO Coimbatore,No Verification,417,1733,23716,29:09.8
Applications Granted - PV Mode wise,RPO Coimbatore,Post Verification,388,1989,17601,29:09.8
Applications Granted - PV Mode wise,RPO Coimbatore,Pre Verification,1364,6669,82943,29:09.8
PV Processing Time,RPO Coimbatore,Within 21 Days,1990,8458,98145,29:09.8
Applications Received - Scheme wise,RPO Dehradun,Normal,2090,8345,90228,29:09.8
Applications Received - Gender wise,RPO Dehradun,FEMALE,675,2589,28359,29:09.8
Applications Received - Gender wise,RPO Dehradun,MALE,1437,5847,62664,29:09.8
Applications with Aadhaar Number,RPO Dehradun,Count of Applications,2112,8436,91026,29:09.8
Applications - Education Wise,RPO Dehradun,10TH PASS AND ABOVE,736,2872,32719,29:09.8
Applications - Education Wise,RPO Dehradun,GRADUATE AND ABOVE,734,2866,30400,29:09.8
Applications - Age Wise Wise,RPO Dehradun,Between_18_to_35,1318,5128,54331,29:09.8
